,source,start,end,duration,value,unit,sub_children
46,Noah’s Apple Watch,2023-08-18 01:53:58 -0400,2023-08-18 15:38:41 -0400,-1 days +10:15:17,50,count/min,[]
47,Noah’s Apple Watch,2023-08-19 00:04:34 -0400,2023-08-19 23:56:53 -0400,-1 days +00:07:41,58,count/min,[]
48,Noah’s Apple Watch,2023-08-20 00:10:08 -0400,2023-08-20 17:20:27 -0400,-1 days +06:49:41,47,count/min,[]
49,Noah’s Apple Watch,2023-08-21 00:00:07 -0400,2023-08-21 16:43:20 -0400,-1 days +07:16:47,60,count/min,[]
50,Noah’s Apple Watch,2023-08-22 08:15:29 -0400,2023-08-22 22:20:06 -0400,-1 days +09:55:23,56,count/min,[]
51,Noah’s Apple Watch,2023-08-23 00:08:39 -0400,2023-08-23 14:50:52 -0400,-1 days +09:17:47,57,count/min,[]
52,Noah’s Apple Watch,2023-08-24 00:04:26 -0400,2023-08-24 16:53:12 -0400,-1 days +07:11:14,61,count/min,[]
53,Noah’s Apple Watch,2023-08-25 00:04:55 -0400,2023-08-25 05:35:28 -0400,-1 days +18:29:27,62,count/min,[]
54,Noah’s Apple Watch,2023-08-27 00:00:06 -0400,2023-08-27 23:59:58 -0400,-1 days +00:00:08,64,count/min,[]
55,Noah’s Apple Watch,2023-08-28 00:00:03 -0400,2023-08-28 08:45:22 -0400,-1 days +15:14:41,49,count/min,[]
56,Noah’s Apple Watch,2023-08-29 00:00:27 -0400,2023-08-29 21:39:23 -0400,-1 days +02:21:04,52,count/min,[]
57,Noah’s Apple Watch,2023-08-30 00:06:28 -0400,2023-08-30 09:13:41 -0400,-1 days +14:52:47,59,count/min,[]
58,Noah’s Apple Watch,2023-09-01 14:53:49 -0400,2023-09-01 23:41:24 -0400,-1 days +15:12:25,58,count/min,[]
59,Noah’s Apple Watch,2023-09-06 10:19:23 -0400,2023-09-06 21:51:21 -0400,-1 days +12:28:02,68,count/min,[]
60,Noah’s Apple Watch,2023-09-07 00:01:13 -0400,2023-09-07 14:55:12 -0400,-1 days +09:06:01,54,count/min,[]
61,Noah’s Apple Watch,2023-09-08 10:22:05 -0400,2023-09-08 14:43:29 -0400,-1 days +19:38:36,59,count/min,[]
62,Noah’s Apple Watch,2023-09-09 00:03:56 -0400,2023-09-09 04:31:09 -0400,-1 days +19:32:47,45,count/min,[]
63,Noah’s Apple Watch,2023-09-10 00:01:05 -0400,2023-09-10 14:17:05 -0400,-1 days +09:44:00,54,count/min,[]
64,Noah’s Apple Watch,2023-09-11 13:05:46 -0400,2023-09-11 23:56:11 -0400,-1 days +13:09:35,58,count/min,[]
65,Noah’s Apple Watch,2023-09-12 00:01:29 -0400,2023-09-12 21:22:42 -0400,-1 days +02:38:47,67,count/min,[]
66,Noah’s Apple Watch,2023-09-13 00:01:38 -0400,2023-09-13 22:42:32 -0400,-1 days +01:19:06,68,count/min,[]
67,Noah’s Apple Watch,2023-09-14 00:01:39 -0400,2023-09-14 23:33:22 -0400,-1 days +00:28:17,59,count/min,[]
68,Noah’s Apple Watch,2023-09-15 09:43:21 -0400,2023-09-15 21:18:38 -0400,-1 days +12:24:43,59,count/min,[]
69,Noah’s Apple Watch,2023-09-16 00:03:55 -0400,2023-09-16 08:43:47 -0400,-1 days +15:20:08,47,count/min,[]
70,Noah’s Apple Watch,2023-09-17 00:13:35 -0400,2023-09-17 22:40:07 -0400,-1 days +01:33:28,53,count/min,[]
71,Noah’s Apple Watch,2023-09-18 00:00:12 -0400,2023-09-18 21:28:20 -0400,-1 days +02:31:52,55,count/min,[]
72,Noah’s Apple Watch,2023-09-19 09:08:19 -0400,2023-09-19 15:59:14 -0400,-1 days +17:09:05,62,count/min,[]
73,Noah’s Apple Watch,2023-09-20 00:03:43 -0400,2023-09-20 13:31:10 -0400,-1 days +10:32:33,61,count/min,[]
74,Noah’s Apple Watch,2023-09-21 00:02:26 -0400,2023-09-21 21:57:06 -0400,-1 days +02:05:20,63,count/min,[]
75,Noah’s Apple Watch,2023-09-22 00:00:14 -0400,2023-09-22 23:55:55 -0400,-1 days +00:04:19,50,count/min,[]
76,Noah’s Apple Watch,2023-09-23 00:01:00 -0400,2023-09-23 21:31:46 -0400,-1 days +02:29:14,58,count/min,[]
77,Noah’s Apple Watch,2023-09-24 00:00:59 -0400,2023-09-24 20:12:59 -0400,-1 days +03:48:00,66,count/min,[]
78,Noah’s Apple Watch,2023-09-25 09:31:09 -0400,2023-09-25 15:21:29 -0400,-1 days +18:09:40,59,count/min,[]
79,Noah’s Apple Watch,2023-09-26 00:05:51 -0400,2023-09-26 22:32:30 -0400,-1 days +01:33:21,57,count/min,[]
80,Noah’s Apple Watch,2023-09-27 00:06:17 -0400,2023-09-27 21:55:26 -0400,-1 days +02:10:51,54,count/min,[]
81,Noah’s Apple Watch,2023-09-28 00:03:20 -0400,2023-09-28 20:29:06 -0400,-1 days +03:34:14,64,count/min,[]
82,Noah’s Apple Watch,2023-10-04 13:26:44 -0400,2023-10-04 21:17:19 -0400,-1 days +16:09:25,59,count/min,[]
83,Noah’s Apple Watch,2023-10-05 00:00:09 -0400,2023-10-05 23:51:26 -0400,-1 days +00:08:43,53,count/min,[]
84,Noah’s Apple Watch,2023-10-06 00:03:04 -0400,2023-10-06 22:06:32 -0400,-1 days +01:56:32,48,count/min,[]
85,Noah’s Apple Watch,2023-10-07 00:04:05 -0400,2023-10-07 00:47:07 -0400,-1 days +23:16:58,55,count/min,[]
86,Noah’s Apple Watch,2023-10-09 13:31:00 -0400,2023-10-09 22:40:49 -0400,-1 days +14:50:11,58,count/min,[]
87,Noah’s Apple Watch,2023-10-10 00:02:42 -0400,2023-10-10 21:58:03 -0400,-1 days +02:04:39,53,count/min,[]
88,Noah’s Apple Watch,2023-10-11 00:01:55 -0400,2023-10-11 21:08:21 -0400,-1 days +02:53:34,55,count/min,[]
89,Noah’s Apple Watch,2023-10-12 02:08:23 -0400,2023-10-12 14:05:12 -0400,-1 days +12:03:11,49,count/min,[]
90,Noah’s Apple Watch,2023-10-13 00:20:37 -0400,2023-10-13 23:21:59 -0400,-1 days +00:58:38,67,count/min,[]
91,Noah’s Apple Watch,2023-10-14 10:53:44 -0400,2023-10-14 14:52:29 -0400,-1 days +20:01:15,65,count/min,[]
92,Noah’s Apple Watch,2023-10-15 00:00:41 -0400,2023-10-15 22:26:59 -0400,-1 days +01:33:42,63,count/min,[]
93,Noah’s Apple Watch,2023-10-16 00:03:55 -0400,2023-10-16 22:24:04 -0400,-1 days +01:39:51,52,count/min,[]
94,Noah’s Apple Watch,2023-10-17 00:00:00 -0400,2023-10-17 22:54:55 -0400,-1 days +01:05:05,62,count/min,[]
95,Noah’s Apple Watch,2023-10-19 00:03:28 -0400,2023-10-19 23:12:58 -0400,-1 days +00:50:30,50,count/min,[]
96,Noah’s Apple Watch,2023-10-20 10:34:01 -0400,2023-10-20 19:04:21 -0400,-1 days +15:29:40,64,count/min,[]
97,Noah’s Apple Watch,2023-10-21 00:04:13 -0400,2023-10-21 02:30:15 -0400,-1 days +21:33:58,57,count/min,[]
98,Noah’s Apple Watch,2023-10-22 00:01:03 -0400,2023-10-22 22:45:36 -0400,-1 days +01:15:27,57,count/min,[]
99,Noah’s Apple Watch,2023-10-23 00:00:03 -0400,2023-10-23 22:57:19 -0400,-1 days +01:02:44,55,count/min,[]
100,Noah’s Apple Watch,2023-10-24 00:02:12 -0400,2023-10-24 12:02:01 -0400,-1 days +12:00:11,54,count/min,[]
101,Noah’s Apple Watch,2023-10-25 00:00:51 -0400,2023-10-25 18:30:40 -0400,-1 days +05:30:11,54,count/min,[]
102,Noah’s Apple Watch,2023-10-26 00:00:12 -0400,2023-10-26 23:46:02 -0400,-1 days +00:14:10,51,count/min,[]
103,Noah’s Apple Watch,2023-10-27 00:05:08 -0400,2023-10-27 10:31:55 -0400,-1 days +13:33:13,47,count/min,[]
104,Noah’s Apple Watch,2023-10-28 00:06:43 -0400,2023-10-28 06:06:03 -0400,-1 days +18:00:40,46,count/min,[]
105,Noah’s Apple Watch,2023-10-29 00:06:36 -0400,2023-10-29 17:01:45 -0400,-1 days +07:04:51,53,count/min,[]
106,Noah’s Apple Watch,2023-10-30 00:00:13 -0400,2023-10-30 21:02:51 -0400,-1 days +02:57:22,51,count/min,[]
107,Noah’s Apple Watch,2023-10-31 00:03:33 -0400,2023-10-31 20:14:48 -0400,-1 days +03:48:45,67,count/min,[]
108,Noah’s Apple Watch,2023-11-02 08:39:05 -0400,2023-11-02 16:27:59 -0400,-1 days +16:11:06,59,count/min,[]
109,Noah’s Apple Watch,2023-11-03 00:00:32 -0400,2023-11-03 14:52:38 -0400,-1 days +09:07:54,47,count/min,[]
110,Noah’s Apple Watch,2023-11-04 00:03:23 -0400,2023-11-04 07:00:34 -0400,-1 days +17:02:49,49,count/min,[]
111,Noah’s Apple Watch,2023-11-05 00:00:30 -0400,2023-11-05 23:34:33 -0400,-1 days +00:25:57,59,count/min,[]
112,Noah’s Apple Watch,2023-11-06 01:01:58 -0400,2023-11-06 22:03:24 -0400,-1 days +02:58:34,60,count/min,[]
113,Noah’s Apple Watch,2023-11-07 01:07:16 -0400,2023-11-07 19:46:43 -0400,-1 days +05:20:33,62,count/min,[]
114,Noah’s Apple Watch,2023-11-08 01:01:50 -0400,2023-11-08 23:08:14 -0400,-1 days +01:53:36,67,count/min,[]
115,Noah’s Apple Watch,2023-11-09 02:47:32 -0400,2023-11-10 00:20:59 -0400,-1 days +02:26:33,61,count/min,[]
116,Noah’s Apple Watch,2023-11-10 01:03:29 -0400,2023-11-10 20:59:48 -0400,-1 days +04:03:41,49,count/min,[]
117,Noah’s Apple Watch,2023-11-11 02:02:28 -0400,2023-11-11 07:29:52 -0400,-1 days +18:32:36,50,count/min,[]
118,Noah’s Apple Watch,2023-11-12 01:02:06 -0400,2023-11-12 23:44:02 -0400,-1 days +01:18:04,67,count/min,[]
119,Noah’s Apple Watch,2023-11-13 01:01:33 -0400,2023-11-13 16:50:33 -0400,-1 days +08:11:00,59,count/min,[]
120,Noah’s Apple Watch,2023-11-14 10:58:52 -0400,2023-11-14 23:58:49 -0400,-1 days +11:00:03,60,count/min,[]
